state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
Indiana,Lake,18,18089,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/25,04/16,04/08,NA,03/25,03/25,hikma_shelter,03/25,hikma_work
Indiana,Madison,18,18095,county,03/23,03/20,NA,NA,NA,NA,03/23,NA,03/23,NA,03/23,03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,keystone_sip,03/23,keystone_cpv
Indiana,Marion,18,18097,county,03/17,NA,03/17,NA,NA,NA,NA,NA,03/17,03/16,03/24,NA,NA,03/24,03/16,03/24,03/23,03/16,03/23,02/28,02/28,NA,NA,NA,NA,03/24,keystone_sip,03/17,keystone_cpv
Indiana,St. Joseph,18,18141,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/07,03/25,03/18,03/13,03/12,03/18,03/19,NA,04/27,NA,03/19,03/25,crwd_lockdown,03/25,crwd_business
Indiana,NA,18,NA,state,03/16,03/24,03/16,NA,NA,NA,03/23,NA,03/23,03/19,03/23,03/24,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/16,keystone_cpv
Iowa,Johnson,19,19103,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/16,NA,03/15,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,crwd_business
Iowa,Polk,19,19153,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/17,03/13,NA,04/12,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,crwd_business
Iowa,NA,19,NA,state,03/17,03/17,NA,NA,NA,NA,03/17,NA,03/17,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,keystone_cpv
Kansas,Johnson,20,20091,county,03/17,03/17,NA,NA,NA,NA,03/24,NA,NA,03/16,03/24,03/24,03/24,03/24,03/14,03/24,NA,03/17,NA,03/16,03/22,03/27,04/10,NA,NA,03/24,nyt,03/17,keystone_cpv
Kansas,Sedgwick,20,20173,county,03/24,04/08,03/17,NA,NA,NA,03/24,NA,NA,03/17,03/25,03/24,03/25,03/25,03/14,03/25,03/15,03/17,03/13,03/17,03/24,NA,03/23,NA,03/24,03/25,nyt,03/24,keystone_cpv
Kansas,Wyandotte,20,20209,county,03/16,03/16,NA,NA,NA,NA,03/23,NA,03/23,03/17,03/23,03/23,03/24,NA,NA,NA,NA,NA,03/21,03/17,03/21,04/21,04/03,NA,03/21,03/24,nyt,03/16,keystone_cpv
Kansas,NA,20,NA,state,03/30,03/24,03/17,NA,NA,NA,03/30,NA,04/07,03/17,03/30,03/24,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,nyt,03/30,keystone_cpv
Kentucky,Fayette,21,21067,county,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,04/24,NA,03/23,NA,NA,03/16,keystone_cpv
Kentucky,Jefferson,21,21111,county,NA,NA,NA,NA,NA,NA,NA,NA,04/07,03/16,NA,NA,NA,03/22,03/20,NA,03/19,03/15,03/12,03/16,03/12,NA,03/05,NA,03/12,03/12,hikma_shelter,03/22,crwd_business
Kentucky,NA,21,NA,state,03/17,03/19,NA,NA,03/11,NA,03/17,NA,03/19,03/16,03/25,03/17,03/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,nyt,03/17,keystone_cpv
Louisiana,Ascension,22,22005,county,03/23,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/20,NA,03/23,03/23,hikma_shelter,03/23,keystone_cpv
Louisiana,Bossier,22,22015,county,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/19,NA,03/23,03/23,hikma_shelter,03/17,keystone_cpv
Louisiana,Caddo,22,22017,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/13,03/23,NA,04/25,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,Calcasieu,22,22019,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/16,03/23,NA,03/26,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,East Baton Rouge,22,22033,county,03/17,03/23,NA,NA,NA,NA,03/23,NA,NA,03/16,03/23,NA,NA,NA,NA,NA,NA,NA,03/23,03/16,03/23,NA,NA,NA,03/23,03/23,keystone_sip,03/17,keystone_cpv
Louisiana,Jefferson,22,22051,county,NA,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/16,03/23,04/02,03/25,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,Lafayette,22,22055,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,NA,NA,NA,NA,NA,NA,NA,03/23,03/16,03/22,03/22,04/09,NA,03/23,03/22,keystone_sip,03/23,hikma_work
Louisiana,Lafourche,22,22057,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,04/28,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,Orleans,22,22071,county,03/17,03/17,NA,NA,NA,NA,03/20,NA,03/20,03/16,03/20,03/20,03/20,03/22,03/16,03/22,03/22,03/13,03/16,03/16,03/16,03/16,03/19,NA,03/20,03/20,nyt,03/17,keystone_cpv
Louisiana,Ouachita,22,22073,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/17,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,Rapides,22,22079,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/26,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,St. Charles,22,22089,county,03/23,NA,03/17,NA,NA,NA,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,keystone_cpv
Louisiana,St. James,22,22093,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,keystone_sip,04/01,effective_date_sip
Louisiana,St. Tammany,22,22103,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/22,03/22,03/23,03/23,04/04,03/13,03/16,03/23,04/04,03/12,NA,03/23,03/23,crwd_lockdown,03/22,crwd_business
Louisiana,Tangipahoa,22,22105,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/13,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,Terrebonne,22,22109,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/31,NA,03/23,03/23,hikma_shelter,03/23,hikma_work
Louisiana,NA,22,NA,state,03/16,03/23,03/16,NA,03/13,NA,03/23,NA,03/23,03/13,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,nyt,03/16,keystone_cpv
Maine,Cumberland,23,23005,county,03/16,NA,NA,NA,NA,NA,04/01,NA,NA,NA,04/01,NA,03/25,03/24,03/14,04/02,03/13,03/14,03/18,03/15,04/02,NA,NA,NA,03/25,03/25,nyt,03/16,keystone_cpv
Maine,York,23,23031,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/02,03/13,04/02,NA,03/12,04/02,04/02,04/02,hikma_shelter,04/02,hikma_work
Maine,NA,23,NA,state,03/18,03/18,NA,NA,NA,NA,03/25,NA,03/18,04/02,04/02,03/25,04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/02,nyt,03/18,keystone_cpv
Maryland,Anne Arundel,24,24003,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/25,03/25,04/03,03/25,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_lockdown,03/23,crwd_business
Maryland,Baltimore,24,24005,county,03/16,NA,03/18,NA,03/12,NA,03/23,NA,NA,03/16,NA,NA,NA,03/19,03/10,03/23,03/13,03/16,03/30,03/16,03/30,03/30,03/13,NA,04/09,03/23,crwd_lockdown,03/16,keystone_cpv
Maryland,Baltimore City,24,24510,county,03/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/11,03/30,03/16,03/16,03/12,03/16,03/30,03/30,04/09,NA,03/23,03/30,crwd_lockdown,03/19,keystone_cpv
Maryland,Carroll,24,24013,county,03/16,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,04/06,NA,03/30,03/17,03/30,03/13,03/16,03/12,03/14,03/30,03/30,03/12,NA,03/30,03/30,crwd_lockdown,03/16,keystone_cpv
Maryland,Charles,24,24017,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/16,03/30,03/29,NA,NA,03/30,03/30,hikma_shelter,03/30,hikma_work
Maryland,Frederick,24,24021,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/12,03/30,03/12,03/12,NA,NA,NA,NA,NA,NA,NA,03/30,crwd_lockdown,03/23,crwd_business
Maryland,Howard,24,24027,county,03/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/15,03/30,03/12,03/13,03/13,03/16,03/23,03/23,NA,NA,03/23,03/30,crwd_lockdown,03/15,keystone_cpv
Maryland,Montgomery,24,24031,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/23,03/11,03/30,03/12,03/14,03/12,03/16,03/30,03/30,NA,NA,03/23,03/30,crwd_lockdown,03/23,crwd_business
Maryland,Prince George's,24,24033,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/13,03/30,03/16,03/16,03/23,03/20,03/23,03/23,03/20,NA,03/23,03/30,crwd_lockdown,03/23,crwd_business
Maryland,NA,24,NA,state,03/16,03/19,03/16,NA,NA,NA,03/23,NA,03/19,03/16,03/30,NA,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,nyt,03/16,keystone_cpv
Massachusetts,Barnstable,25,25001,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/15,03/22,NA,03/15,NA,NA,NA,NA,NA,NA,NA,03/22,crwd_lockdown,03/17,crwd_business
Massachusetts,Berkshire,25,25003,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/23,03/17,03/24,NA,03/17,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_lockdown,03/23,crwd_business
Massachusetts,Bristol,25,25005,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,03/24,NA,03/13,03/17,03/17,03/24,NA,NA,NA,03/24,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Essex,25,25009,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,03/24,NA,03/13,03/10,03/13,03/23,04/10,04/01,04/10,03/10,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Franklin,25,25011,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,03/24,NA,03/13,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Hampden,25,25013,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/17,03/24,NA,03/13,03/23,03/25,03/23,03/23,04/28,NA,03/23,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Hampshire,25,25015,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,NA,NA,NA,03/24,03/17,03/24,NA,03/16,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Middlesex,25,25017,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/13,03/24,03/12,03/17,03/15,03/13,03/15,NA,04/10,NA,03/17,03/24,crwd_lockdown,03/23,crwd_business
Massachusetts,Norfolk,25,25021,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/13,03/24,NA,03/17,NA,03/15,03/24,NA,03/17,NA,03/24,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Plymouth,25,25023,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/16,03/24,NA,03/17,03/24,03/16,03/24,NA,NA,NA,03/24,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Suffolk,25,25025,county,NA,03/24,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/12,03/24,NA,03/16,03/15,03/17,03/23,NA,02/28,04/10,03/24,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,Worcester,25,25027,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,NA,NA,NA,03/24,03/11,03/24,NA,03/16,03/21,03/13,03/21,NA,03/26,NA,03/21,03/24,crwd_lockdown,03/24,crwd_business
Massachusetts,NA,25,NA,state,03/23,03/24,03/17,03/17,03/13,NA,03/24,NA,NA,03/17,03/24,03/13,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/23,keystone_cpv
Michigan,Genesee,26,26049,county,03/23,NA,03/16,NA,NA,NA,03/23,NA,NA,03/16,03/23,03/16,NA,NA,NA,NA,NA,NA,03/26,03/16,03/26,NA,NA,NA,03/26,03/23,keystone_sip,03/23,keystone_cpv
Michigan,Ingham,26,26065,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/15,03/16,03/23,03/16,03/23,NA,04/14,NA,03/23,03/24,crwd_lockdown,03/24,crwd_business
Michigan,Kent,26,26081,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/19,03/24,03/15,03/16,03/11,03/16,03/23,03/23,04/21,NA,03/23,03/24,crwd_lockdown,03/24,crwd_business
Michigan,Macomb,26,26099,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/12,03/24,04/02,03/27,NA,03/24,03/24,hikma_shelter,03/24,hikma_work
Michigan,Oakland,26,26125,county,NA,NA,NA,NA,NA,NA,03/23,NA,03/23,03/23,03/23,03/23,NA,03/24,03/12,03/24,03/15,03/16,NA,NA,NA,NA,NA,NA,03/16,03/23,keystone_sip,03/24,crwd_business
Michigan,Washtenaw,26,26161,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/12,03/24,03/22,03/12,NA,03/13,04/01,NA,NA,NA,04/01,03/24,crwd_lockdown,03/24,crwd_business
Michigan,Wayne,26,26163,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/11,03/24,03/14,03/13,NA,03/16,03/24,04/02,03/27,NA,03/12,03/24,crwd_lockdown,03/23,crwd_business
Michigan,NA,26,NA,state,03/16,NA,03/17,NA,03/13,NA,03/22,NA,NA,03/16,03/24,03/25,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/16,keystone_cpv
Minnesota,Hennepin,27,27053,county,03/26,NA,NA,NA,NA,NA,03/26,NA,NA,NA,NA,03/26,NA,03/27,03/14,03/27,03/15,03/17,NA,NA,03/17,NA,NA,NA,03/17,03/27,crwd_lockdown,03/26,keystone_cpv
Minnesota,Olmsted,27,27109,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/16,03/27,03/15,03/18,03/16,03/18,03/16,03/16,03/20,NA,03/16,03/27,crwd_lockdown,03/27,crwd_business
Minnesota,Ramsey,27,27123,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,03/13,03/27,03/14,03/18,03/13,03/18,03/27,04/06,03/06,NA,03/27,03/27,crwd_lockdown,03/27,crwd_business
Minnesota,NA,27,NA,state,03/27,NA,NA,NA,NA,NA,03/27,NA,NA,03/18,03/27,03/27,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,nyt,03/27,keystone_cpv
Mississippi,DeSoto,28,28033,county,04/08,03/22,NA,NA,NA,NA,04/08,NA,NA,03/22,03/22,03/22,NA,04/03,03/25,03/22,03/18,04/13,04/03,03/16,04/03,04/03,NA,NA,04/03,03/22,keystone_sip,04/08,keystone_cpv
Mississippi,Hinds,28,28049,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,04/03,04/03,03/23,NA,03/17,04/03,hikma_shelter,03/17,hikma_work
Mississippi,Jackson,28,28059,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/16,04/03,NA,NA,NA,05/04,04/03,hikma_shelter,05/04,hikma_work
Mississippi,NA,28,NA,state,03/20,03/24,NA,NA,NA,NA,03/16,NA,NA,03/16,03/31,03/31,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,nyt,03/20,keystone_cpv
Missouri,Jackson,29,29095,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,03/24,NA,03/24,03/24,03/24,03/24,03/12,03/24,03/24,03/14,03/24,03/18,03/24,NA,NA,NA,03/24,03/24,nyt,03/24,keystone_cpv
Missouri,St. Charles,29,29183,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,03/23,03/24,03/20,03/27,03/13,03/30,03/23,NA,NA,03/25,NA,03/24,crwd_lockdown,04/06,crwd_business
Missouri,St. Louis,29,29189,county,03/23,03/19,03/15,NA,03/13,NA,03/23,NA,03/21,03/18,03/23,03/13,03/23,03/23,03/08,03/23,03/16,03/18,03/16,03/16,03/23,03/23,03/25,NA,03/23,03/23,nyt,03/23,keystone_cpv
Missouri,St. Louis City,29,29510,county,03/19,03/20,03/16,NA,*3/13,NA,03/23,NA,03/20,03/18,03/23,03/20,NA,03/21,03/18,04/06,04/06,03/18,03/18,03/21,03/21,NA,03/31,NA,03/21,03/23,keystone_sip,03/19,keystone_cpv
Missouri,NA,29,NA,state,03/23,03/23,NA,NA,NA,NA,04/06,NA,NA,03/23,04/06,03/23,04/06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/06,nyt,03/23,keystone_cpv
Montana,Gallatin,30,30031,county,03/16,03/26,NA,NA,NA,NA,03/26,NA,03/26,NA,NA,03/26,NA,03/16,03/23,03/26,03/26,03/14,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_lockdown,03/16,keystone_cpv
Montana,NA,30,NA,state,03/24,NA,NA,NA,NA,NA,03/26,NA,NA,03/15,03/26,NA,03/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,nyt,03/24,keystone_cpv
Nebraska,Douglas,31,31055,county,03/18,03/18,NA,NA,NA,NA,NA,NA,NA,03/16,NA,03/18,NA,03/27,03/09,NA,03/16,03/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,keystone_cpv
Nebraska,NA,31,NA,state,03/16,04/03,03/16,NA,NA,NA,04/03,NA,04/03,04/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,keystone_cpv
Nevada,Clark,32,32003,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/18,04/01,03/12,03/15,03/18,03/15,03/18,NA,03/23,NA,03/18,04/01,crwd_lockdown,03/20,crwd_business
Nevada,Washoe,32,32031,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/01,03/18,03/31,04/08,03/15,NA,NA,NA,NA,NA,NA,NA,03/31,crwd_lockdown,03/01,crwd_business
Nevada,NA,32,NA,state,03/20,03/24,NA,NA,NA,NA,03/20,NA,03/24,03/16,03/31,03/20,04/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,nyt,03/20,keystone_cpv
New Hampshire,Hillsborough,33,33011,county,NA,NA,NA,NA,NA,NA,03/20,NA,NA,NA,NA,NA,NA,03/26,03/16,03/26,03/15,03/16,NA,NA,NA,NA,NA,NA,NA,03/26,crwd_lockdown,03/26,crwd_business
New Hampshire,Rockingham,33,33015,county,NA,NA,NA,NA,NA,NA,03/20,NA,NA,NA,NA,NA,NA,03/26,03/14,03/26,03/19,03/16,03/16,03/16,03/16,NA,04/01,NA,03/26,03/26,crwd_lockdown,03/26,crwd_business
New Hampshire,NA,33,NA,state,03/16,03/23,03/16,NA,NA,NA,03/27,NA,04/13,03/16,03/27,04/13,03/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/27,nyt,03/16,keystone_cpv
New Jersey,Bergen,34,34003,county,03/17,NA,NA,NA,NA,NA,03/17,NA,NA,NA,NA,03/10,NA,03/21,03/16,03/17,03/12,03/09,04/13,03/17,NA,NA,03/22,NA,03/19,03/17,crwd_lockdown,03/17,keystone_cpv
New Jersey,Burlington,34,34005,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/21,03/18,03/21,03/15,03/18,03/12,03/16,03/21,03/23,03/26,NA,03/21,03/21,crwd_lockdown,03/21,crwd_business
New Jersey,Camden,34,34007,county,03/16,NA,NA,NA,NA,NA,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/21,04/05,NA,NA,03/21,03/21,hikma_shelter,03/16,keystone_cpv
New Jersey,Essex,34,34013,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/18,03/21,03/26,03/18,03/21,03/16,03/21,03/31,03/26,NA,03/21,03/21,crwd_lockdown,03/21,crwd_business
New Jersey,Gloucester,34,34015,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/18,03/21,03/23,04/08,NA,03/21,03/21,hikma_shelter,03/21,hikma_work
New Jersey,Hudson,34,34017,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/21,03/10,03/19,03/18,03/18,03/12,03/18,03/21,03/21,03/24,NA,03/21,03/19,crwd_lockdown,03/21,crwd_business
New Jersey,Mercer,34,34021,county,03/18,NA,NA,NA,03/12,NA,03/20,NA,NA,03/16,NA,NA,NA,03/20,03/10,03/21,03/13,03/11,NA,03/25,NA,NA,NA,NA,NA,03/21,crwd_lockdown,03/18,keystone_cpv
New Jersey,Middlesex,34,34023,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/10,03/21,03/13,03/12,03/20,03/18,03/18,03/18,04/12,NA,03/20,03/21,crwd_lockdown,03/16,crwd_business
New Jersey,Monmouth,34,34025,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/10,03/21,03/21,03/14,03/16,03/18,03/21,03/21,NA,NA,03/21,03/21,crwd_lockdown,03/21,crwd_business
New Jersey,Morris,34,34027,county,03/19,NA,NA,NA,NA,NA,03/17,NA,NA,NA,NA,03/19,NA,NA,NA,NA,NA,NA,03/21,03/18,03/21,03/21,03/30,NA,03/21,03/21,hikma_shelter,03/19,keystone_cpv
New Jersey,Ocean,34,34029,county,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,NA,03/16,NA,NA,NA,NA,NA,NA,03/21,03/18,03/21,03/23,03/30,NA,03/21,03/21,hikma_shelter,03/21,hikma_work
New Jersey,Passaic,34,34031,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,NA,NA,NA,NA,NA,NA,NA,NA,04/07,03/16,03/21,03/21,03/25,NA,03/21,03/21,hikma_shelter,03/21,hikma_work
New Jersey,Somerset,34,34035,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,NA,03/21,03/10,03/21,03/13,03/12,03/19,03/15,03/19,03/19,NA,NA,03/19,03/21,crwd_lockdown,03/21,crwd_business
New Jersey,Sussex,34,34037,county,03/21,NA,NA,NA,NA,NA,03/16,04/07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,keystone_cpv
New Jersey,Union,34,34039,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,03/10,03/21,04/10,03/23,NA,03/13,03/21,hikma_shelter,03/13,hikma_work
New Jersey,NA,34,NA,state,03/25,NA,03/18,NA,03/12,NA,03/21,NA,03/25,03/18,03/21,03/21,03/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/21,nyt,03/25,keystone_cpv
New Mexico,Bernalillo,35,35001,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,03/23,03/23,03/24,03/27,03/24,04/08,04/06,NA,NA,03/23,crwd_lockdown,03/23,crwd_business
New Mexico,San Juan,35,35045,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/30,NA,03/24,03/19,hikma_shelter,03/24,hikma_work
New Mexico,Sandoval,35,35043,county,03/23,NA,NA,NA,NA,NA,03/23,NA,NA,03/16,03/23,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/23,NA,03/24,03/23,keystone_sip,03/23,keystone_cpv
New Mexico,NA,35,NA,state,03/19,03/19,03/16,NA,NA,NA,03/23,NA,03/23,03/16,03/23,03/23,03/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,nyt,03/19,keystone_cpv
New York,Albany,36,36001,county,03/17,NA,NA,NA,NA,NA,03/17,NA,NA,NA,NA,NA,NA,03/22,03/13,03/22,03/22,03/14,03/13,03/18,03/20,NA,04/06,NA,03/20,03/22,crwd_lockdown,03/17,keystone_cpv
New York,Dutchess,36,36027,county,NA,NA,NA,03/18,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/23,03/14,03/14,03/14,03/13,03/13,03/16,03/20,NA,03/23,03/24,03/13,03/14,crwd_lockdown,03/23,crwd_business
